id_client,nom,pays,ville,date_inscription,canal_acquisition
116,Client_116,Gabon,Libreville,2024-08-30,Referral
117,Client_117,Cameroun,Douala,2023-07-22,Referral
118,Client_118,RD Congo,Goma,2024-06-19,Ads
119,Client_119,Cameroun,Douala,2023-07-11,Marketplace
120,Client_120,Côte d’Ivoire,Yamoussoukro,2022-06-15,Organic
121,Client_121,Canada,Québec,2024-02-24,Organic
122,Client_122,RD Congo,Kinshasa,2024-04-29,Referral
123,Client_123,Côte d’Ivoire,Yamoussoukro,2024-08-12,Referral
124,Client_124,France,Lyon,2024-05-10,Referral
125,Client_125,France,Lille,2024-02-19,Referral
126,Client_126,France,Marseille,2023-09-04,Referral
127,Client_127,Sénégal,Saint-Louis,2023-03-28,Referral
128,Client_128,RD Congo,Goma,2024-06-11,Referral
129,Client_129,France,Toulouse,2023-11-20,Referral
130,Client_130,Canada,Gatineau,2022-09-19,Ads
131,Client_131,Sénégal,Saint-Louis,2022-02-25,Ads
132,Client_132,Sénégal,Dakar,2024-08-03,Organic
133,Client_133,France,Marseille,2024-02-16,Marketplace
134,Client_134,RD Congo,Bukavu,2023-11-01,Marketplace
135,Client_135,Sénégal,Thiès,2024-05-13,Marketplace
136,Client_136,Belgique,Charleroi,2022-02-09,Ads
137,Client_137,Côte d’Ivoire,Abidjan,2022-05-21,Ads
138,Client_138,France,Lyon,2023-02-13,Ads
139,Client_139,Canada,Québec,2022-09-16,Referral
140,Client_140,Belgique,Liège,2024-08-10,Marketplace
141,Client_141,Côte d’Ivoire,Abidjan,2022-08-23,Organic
142,Client_142,Cameroun,Douala,2022-02-22,Marketplace
143,Client_143,Sénégal,Thiès,2023-02-11,Ads
144,Client_144,RD Congo,Kinshasa,2023-09-10,Ads
145,Client_145,France,Marseille,2024-12-27,Referral
146,Client_146,Côte d’Ivoire,Abidjan,2024-11-02,Marketplace
147,Client_147,France,Toulouse,2024-09-30,Ads
148,Client_148,Sénégal,Thiès,2024-07-30,Organic
149,Client_149,Sénégal,Dakar,2024-12-04,Marketplace
150,Client_150,Gabon,Port-Gentil,2024-06-11,Marketplace
151,Client_151,Côte d’Ivoire,Abidjan,2022-06-27,Marketplace
152,Client_152,Gabon,Libreville,2024-08-09,Referral
153,Client_153,Côte d’Ivoire,Abidjan,2024-10-09,Marketplace
154,Client_154,Canada,Gatineau,2023-03-11,Marketplace
155,Client_155,Cameroun,Yaoundé,2023-07-27,Marketplace
156,Client_156,France,Lille,2023-01-27,Ads
157,Client_157,RD Congo,Bukavu,2024-09-27,Organic
158,Client_158,Gabon,Port-Gentil,2024-07-06,Ads
159,Client_159,Belgique,Namur,2023-03-30,Referral
160,Client_160,RD Congo,Goma,2024-01-26,Referral
161,Client_161,Côte d’Ivoire,Bouaké,2023-11-09,Marketplace
162,Client_162,Gabon,Port-Gentil,2023-09-20,Marketplace
163,Client_163,RD Congo,Kinshasa,2023-01-30,Marketplace
164,Client_164,Belgique,Liège,2023-01-28,Organic
165,Client_165,Gabon,Port-Gentil,2024-12-10,Marketplace
166,Client_166,Belgique,Liège,2023-08-30,Organic
167,Client_167,Côte d’Ivoire,Abidjan,2023-09-12,Ads
168,Client_168,Canada,Laval,2022-04-04,Ads
169,Client_169,Cameroun,Bafoussam,2022-09-16,Referral
170,Client_170,Belgique,Bruxelles,2023-08-06,Referral
171,Client_171,Gabon,Port-Gentil,2023-11-29,Organic
172,Client_172,France,Marseille,2024-09-05,Ads
173,Client_173,Belgique,Charleroi,2024-10-04,Ads
174,Client_174,France,Lyon,2022-11-02,Marketplace
175,Client_175,Belgique,Liège,2022-08-31,Referral
176,Client_176,RD Congo,Bukavu,2024-07-11,Referral
177,Client_177,Cameroun,Bafoussam,2024-05-28,Marketplace
178,Client_178,France,Lille,2022-07-23,Organic
179,Client_179,RD Congo,Goma,2022-06-16,Organic
180,Client_180,RD Congo,Lubumbashi,2022-06-03,Organic
181,Client_181,France,Toulouse,2024-07-11,Referral
182,Client_182,Cameroun,Douala,2023-04-20,Marketplace
183,Client_183,Cameroun,Bafoussam,2024-07-18,Ads
184,Client_184,RD Congo,Goma,2023-02-10,Referral
185,Client_185,Belgique,Liège,2022-11-02,Marketplace
186,Client_186,Canada,Montréal,2022-05-03,Organic
187,Client_187,Cameroun,Bafoussam,2023-08-15,Referral
188,Client_188,Belgique,Charleroi,2023-09-15,Referral
189,Client_189,Cameroun,Bafoussam,2024-10-08,Referral
190,Client_190,Belgique,Bruxelles,2024-06-03,Marketplace
191,Client_191,Cameroun,Douala,2022-07-07,Organic
192,Client_192,France,Marseille,2022-03-24,Organic
193,Client_193,Gabon,Port-Gentil,2023-07-24,Organic
194,Client_194,Sénégal,Saint-Louis,2024-10-04,Ads
195,Client_195,Gabon,Port-Gentil,2024-04-16,Marketplace
196,Client_196,Côte d’Ivoire,Yamoussoukro,2022-08-03,Organic
197,Client_197,Côte d’Ivoire,Bouaké,2024-10-11,Marketplace
198,Client_198,Sénégal,Saint-Louis,2022-03-17,Referral
199,Client_199,Belgique,Namur,2023-06-01,Marketplace
200,Client_200,Belgique,Charleroi,2024-11-19,Ads
201,Client_201,Gabon,Port-Gentil,2022-04-22,Organic
202,Client_202,Côte d’Ivoire,Yamoussoukro,2024-10-17,Referral
203,Client_203,France,Lyon,2023-07-01,Organic
204,Client_204,Cameroun,Yaoundé,2024-09-19,Ads
205,Client_205,France,Lille,2023-05-06,Organic
206,Client_206,Cameroun,Bafoussam,2022-01-29,Referral
207,Client_207,Belgique,Liège,2022-08-21,Referral
208,Client_208,Belgique,Liège,2024-10-17,Marketplace
209,Client_209,Cameroun,Yaoundé,2024-09-15,Referral
210,Client_210,RD Congo,Bukavu,2022-10-24,Referral
211,Client_211,RD Congo,Lubumbashi,2022-05-23,Marketplace
212,Client_212,Sénégal,Thiès,2024-11-05,Marketplace
213,Client_213,France,Marseille,2023-09-04,Referral
214,Client_214,Canada,Gatineau,2024-09-18,Marketplace
215,Client_215,Côte d’Ivoire,Yamoussoukro,2024-02-12,Referral
216,Client_216,Côte d’Ivoire,Abidjan,2023-05-05,Referral
217,Client_217,RD Congo,Bukavu,2022-03-31,Marketplace
218,Client_218,Gabon,Port-Gentil,2024-03-01,Organic
219,Client_219,Gabon,Libreville,2022-09-16,Marketplace
220,Client_220,Belgique,Charleroi,2022-07-24,Referral
221,Client_221,France,Lyon,2024-04-19,Organic
222,Client_222,Belgique,Charleroi,2023-06-27,Marketplace
223,Client_223,Sénégal,Saint-Louis,2022-06-14,Marketplace
224,Client_224,Sénégal,Thiès,2024-09-26,Ads
225,Client_225,Belgique,Liège,2023-08-12,Organic
226,Client_226,Belgique,Charleroi,2022-07-21,Ads
227,Client_227,Gabon,Libreville,2023-09-06,Ads
228,Client_228,France,Marseille,2022-04-25,Marketplace
229,Client_229,Côte d’Ivoire,Bouaké,2024-06-01,Organic
230,Client_230,RD Congo,Bukavu,2023-01-04,Organic
231,Client_231,Canada,Montréal,2024-02-23,Organic
232,Client_232,Gabon,Libreville,2023-04-21,Referral
233,Client_233,Cameroun,Yaoundé,2023-06-07,Ads
234,Client_234,Gabon,Port-Gentil,2022-11-20,Ads
235,Client_235,Gabon,Port-Gentil,2023-09-05,Referral
236,Client_236,Cameroun,Yaoundé,2023-09-11,Organic
237,Client_237,Sénégal,Thiès,2022-08-07,Organic
238,Client_238,Sénégal,Saint-Louis,2024-01-06,Marketplace
239,Client_239,Cameroun,Douala,2024-03-21,Marketplace
240,Client_240,France,Lille,2022-04-11,Referral
241,Client_241,Cameroun,Douala,2023-12-23,Organic
242,Client_242,RD Congo,Goma,2022-10-08,Ads
243,Client_243,France,Marseille,2024-06-21,Ads
244,Client_244,Côte d’Ivoire,Yamoussoukro,2022-09-27,Ads
245,Client_245,Cameroun,Yaoundé,2024-04-30,Organic
246,Client_246,RD Congo,Lubumbashi,2024-01-20,Marketplace
247,Client_247,Canada,Laval,2024-09-13,Marketplace
248,Client_248,Côte d’Ivoire,Abidjan,2024-08-17,Ads
249,Client_249,Canada,Québec,2024-03-24,Marketplace
250,Client_250,Belgique,Charleroi,2022-01-29,Marketplace
251,Client_251,Belgique,Charleroi,2024-01-25,Marketplace
252,Client_252,Sénégal,Saint-Louis,2024-01-31,Ads
253,Client_253,RD Congo,Bukavu,2022-02-21,Marketplace
254,Client_254,RD Congo,Kinshasa,2024-08-08,Marketplace
255,Client_255,Sénégal,Dakar,2022-10-14,Ads
256,Client_256,France,Marseille,2024-10-05,Ads
257,Client_257,Belgique,Liège,2025-01-05,Organic
258,Client_258,Sénégal,Thiès,2024-01-30,Referral
259,Client_259,Canada,Gatineau,2022-07-22,Referral
260,Client_260,Sénégal,Thiès,2022-03-09,Marketplace
261,Client_261,RD Congo,Bukavu,2024-06-29,Organic
262,Client_262,Côte d’Ivoire,Abidjan,2024-01-23,Marketplace
263,Client_263,France,Toulouse,2023-07-20,Organic
264,Client_264,Belgique,Charleroi,2022-07-07,Organic
265,Client_265,France,Paris,2023-11-15,Organic
266,Client_266,Canada,Québec,2022-05-21,Organic
267,Client_267,RD Congo,Lubumbashi,2023-11-04,Organic
268,Client_268,France,Marseille,2022-10-24,Organic
269,Client_269,Cameroun,Douala,2022-08-14,Ads
270,Client_270,Canada,Montréal,2024-01-04,Organic
271,Client_271,Côte d’Ivoire,Abidjan,2022-12-23,Marketplace
272,Client_272,France,Lyon,2024-05-12,Ads
273,Client_273,Belgique,Charleroi,2024-07-07,Marketplace
274,Client_274,Belgique,Charleroi,2024-10-28,Organic
275,Client_275,France,Lille,2023-09-10,Referral
276,Client_276,France,Paris,2024-09-07,Referral
277,Client_277,Sénégal,Saint-Louis,2022-08-10,Referral
278,Client_278,Gabon,Libreville,2022-06-15,Marketplace
279,Client_279,Canada,Montréal,2022-09-16,Marketplace
280,Client_280,Côte d’Ivoire,Bouaké,2024-12-22,Marketplace
281,Client_281,Gabon,Port-Gentil,2022-07-23,Ads
282,Client_282,RD Congo,Bukavu,2024-07-13,Organic
283,Client_283,Sénégal,Thiès,2024-07-17,Referral
284,Client_284,Sénégal,Saint-Louis,2022-07-14,Marketplace
285,Client_285,Sénégal,Thiès,2023-06-07,Marketplace
286,Client_286,Canada,Gatineau,2022-05-18,Ads
287,Client_287,Belgique,Bruxelles,2024-06-03,Ads
288,Client_288,Côte d’Ivoire,Abidjan,2022-05-03,Marketplace
289,Client_289,Belgique,Charleroi,2023-12-26,Referral
290,Client_290,France,Marseille,2023-10-02,Marketplace
291,Client_291,Belgique,Liège,2022-11-13,Referral
292,Client_292,RD Congo,Kinshasa,2023-12-19,Marketplace
293,Client_293,Belgique,Namur,2023-04-09,Referral
294,Client_294,France,Lille,2023-07-02,Ads
295,Client_295,Canada,Laval,2023-09-25,Marketplace
296,Client_296,Côte d’Ivoire,Abidjan,2023-01-07,Organic
297,Client_297,Sénégal,Dakar,2022-10-18,Ads
298,Client_298,Belgique,Liège,2024-02-10,Referral
299,Client_299,Gabon,Port-Gentil,2022-11-19,Marketplace
300,Client_300,Cameroun,Bafoussam,2023-10-27,Ads
301,Client_301,France,Lyon,2022-11-19,Ads
302,Client_302,Belgique,Namur,2024-06-26,Referral
303,Client_303,Gabon,Port-Gentil,2024-04-28,Marketplace
304,Client_304,RD Congo,Kinshasa,2023-12-08,Referral
305,Client_305,Belgique,Namur,2024-09-23,Marketplace
306,Client_306,France,Lyon,2024-03-20,Ads
307,Client_307,France,Lyon,2023-09-10,Organic
308,Client_308,Canada,Laval,2023-08-16,Marketplace
309,Client_309,Belgique,Bruxelles,2024-10-15,Referral
310,Client_310,Canada,Québec,2024-02-18,Organic
311,Client_311,Côte d’Ivoire,Abidjan,2024-03-24,Ads
312,Client_312,Sénégal,Dakar,2024-07-30,Ads
313,Client_313,Côte d’Ivoire,Yamoussoukro,2024-05-29,Referral
314,Client_314,Sénégal,Thiès,2022-08-24,Referral
315,Client_315,France,Marseille,2022-12-18,Referral
316,Client_316,Côte d’Ivoire,Abidjan,2024-06-13,Ads
317,Client_317,RD Congo,Bukavu,2024-03-31,Ads
318,Client_318,Sénégal,Thiès,2023-11-27,Organic
319,Client_319,Côte d’Ivoire,Abidjan,2022-06-06,Ads
320,Client_320,RD Congo,Goma,2023-12-21,Organic
321,Client_321,RD Congo,Kinshasa,2022-10-27,Marketplace
322,Client_322,RD Congo,Lubumbashi,2022-11-10,Ads
323,Client_323,Canada,Gatineau,2024-08-08,Referral
324,Client_324,Côte d’Ivoire,Yamoussoukro,2023-10-10,Organic
325,Client_325,Gabon,Libreville,2024-08-18,Referral
326,Client_326,Cameroun,Yaoundé,2022-04-26,Marketplace
327,Client_327,Belgique,Namur,2024-08-03,Referral
328,Client_328,France,Paris,2024-01-26,Marketplace
329,Client_329,Belgique,Bruxelles,2024-11-04,Referral
330,Client_330,Gabon,Libreville,2024-07-10,Organic
331,Client_331,Côte d’Ivoire,Yamoussoukro,2024-09-01,Organic
332,Client_332,France,Toulouse,2022-07-31,Marketplace
333,Client_333,Belgique,Liège,2022-03-22,Organic
334,Client_334,Gabon,Port-Gentil,2024-12-09,Organic
335,Client_335,Côte d’Ivoire,Bouaké,2023-08-03,Referral
336,Client_336,Sénégal,Thiès,2022-04-18,Marketplace
337,Client_337,Belgique,Namur,2022-07-13,Referral
338,Client_338,Cameroun,Yaoundé,2022-11-04,Marketplace
339,Client_339,Belgique,Liège,2023-12-18,Marketplace
340,Client_340,Sénégal,Dakar,2022-06-23,Marketplace
341,Client_341,Sénégal,Saint-Louis,2023-11-04,Organic
342,Client_342,Belgique,Charleroi,2024-11-07,Marketplace
343,Client_343,France,Marseille,2023-09-25,Organic
344,Client_344,RD Congo,Goma,2024-09-22,Organic
345,Client_345,RD Congo,Lubumbashi,2022-11-14,Ads
346,Client_346,Cameroun,Douala,2024-11-05,Ads
347,Client_347,Côte d’Ivoire,Yamoussoukro,2022-09-26,Referral
348,Client_348,Canada,Québec,2023-01-06,Organic
349,Client_349,Gabon,Libreville,2024-04-21,Marketplace
350,Client_350,RD Congo,Bukavu,2023-08-07,Referral
351,Client_351,RD Congo,Lubumbashi,2023-09-26,Referral
352,Client_352,RD Congo,Goma,2024-06-21,Referral
353,Client_353,Cameroun,Yaoundé,2024-10-26,Referral
354,Client_354,Canada,Québec,2022-10-11,Marketplace
355,Client_355,France,Toulouse,2024-01-31,Ads
356,Client_356,Belgique,Namur,2022-06-21,Organic
357,Client_357,Cameroun,Yaoundé,2024-11-17,Organic
358,Client_358,Sénégal,Dakar,2023-03-31,Referral
359,Client_359,Côte d’Ivoire,Abidjan,2024-04-29,Ads
360,Client_360,Sénégal,Saint-Louis,2024-02-05,Organic
361,Client_361,Sénégal,Dakar,2024-02-07,Organic
362,Client_362,France,Marseille,2022-07-22,Marketplace
363,Client_363,Canada,Québec,2022-03-20,Marketplace
364,Client_364,Gabon,Libreville,2024-08-18,Referral
365,Client_365,France,Paris,2022-02-08,Marketplace
366,Client_366,RD Congo,Lubumbashi,2024-12-16,Referral
367,Client_367,Belgique,Namur,2023-05-02,Marketplace
368,Client_368,Belgique,Bruxelles,2023-05-04,Referral
369,Client_369,Gabon,Libreville,2022-08-16,Referral
370,Client_370,France,Lille,2023-05-11,Organic
371,Client_371,Cameroun,Yaoundé,2022-01-04,Marketplace
372,Client_372,RD Congo,Bukavu,2023-01-19,Ads
373,Client_373,Côte d’Ivoire,Abidjan,2024-12-13,Ads
374,Client_374,Sénégal,Thiès,2022-03-31,Referral
375,Client_375,Côte d’Ivoire,Bouaké,2022-02-03,Marketplace
376,Client_376,Belgique,Namur,2023-05-09,Ads
377,Client_377,Côte d’Ivoire,Abidjan,2022-04-01,Marketplace
378,Client_378,Côte d’Ivoire,Yamoussoukro,2022-12-25,Referral
379,Client_379,Gabon,Libreville,2022-10-04,Ads
380,Client_380,Gabon,Libreville,2023-08-24,Organic
381,Client_381,France,Lyon,2022-03-27,Marketplace
382,Client_382,Cameroun,Bafoussam,2024-03-26,Referral
383,Client_383,Cameroun,Douala,2023-01-27,Marketplace
384,Client_384,Côte d’Ivoire,Abidjan,2023-11-11,Marketplace
385,Client_385,Belgique,Namur,2024-06-13,Referral
386,Client_386,Gabon,Port-Gentil,2023-11-26,Organic
387,Client_387,Gabon,Port-Gentil,2024-01-23,Marketplace
388,Client_388,Belgique,Charleroi,2022-06-11,Referral
389,Client_389,Canada,Laval,2023-10-20,Ads
390,Client_390,Belgique,Namur,2023-08-29,Marketplace
391,Client_391,Gabon,Port-Gentil,2022-12-08,Referral
392,Client_392,Côte d’Ivoire,Bouaké,2022-03-28,Marketplace
393,Client_393,Sénégal,Thiès,2022-04-28,Ads
394,Client_394,Sénégal,Thiès,2024-11-16,Organic
395,Client_395,France,Lyon,2024-06-16,Ads
396,Client_396,Canada,Montréal,2023-04-29,Marketplace
397,Client_397,Côte d’Ivoire,Bouaké,2022-03-08,Organic
398,Client_398,Gabon,Port-Gentil,2024-02-01,Referral
399,Client_399,Belgique,Liège,2024-12-20,Marketplace
400,Client_400,Sénégal,Thiès,2023-07-25,Organic
401,Client_401,Belgique,Bruxelles,2023-01-17,Referral
402,Client_402,Sénégal,Saint-Louis,2022-08-30,Marketplace
403,Client_403,Cameroun,Bafoussam,2024-07-02,Organic
404,Client_404,Cameroun,Bafoussam,2024-10-02,Organic
405,Client_405,Belgique,Liège,2022-06-01,Referral
406,Client_406,Canada,Gatineau,2022-06-29,Marketplace
407,Client_407,Côte d’Ivoire,Yamoussoukro,2022-05-13,Marketplace
408,Client_408,Cameroun,Douala,2022-12-23,Marketplace
409,Client_409,RD Congo,Kinshasa,2023-02-16,Organic
410,Client_410,RD Congo,Bukavu,2022-02-23,Marketplace
411,Client_411,Côte d’Ivoire,Bouaké,2022-09-23,Ads
412,Client_412,Belgique,Namur,2024-03-26,Referral
413,Client_413,Sénégal,Thiès,2022-06-01,Organic
414,Client_414,Côte d’Ivoire,Yamoussoukro,2022-06-01,Referral
415,Client_415,Gabon,Port-Gentil,2022-09-20,Organic
416,Client_416,Canada,Gatineau,2024-10-26,Ads
417,Client_417,Belgique,Liège,2023-09-15,Organic
418,Client_418,Canada,Laval,2023-04-07,Marketplace
419,Client_419,Cameroun,Douala,2023-05-29,Organic
420,Client_420,Cameroun,Douala,2023-09-13,Ads
421,Client_421,Canada,Québec,2022-12-17,Marketplace
422,Client_422,France,Paris,2022-06-16,Ads
423,Client_423,Cameroun,Bafoussam,2023-03-08,Referral
424,Client_424,France,Toulouse,2023-08-17,Marketplace
425,Client_425,Gabon,Libreville,2024-04-11,Marketplace
426,Client_426,Gabon,Libreville,2022-05-03,Organic
427,Client_427,Gabon,Port-Gentil,2024-09-18,Referral
428,Client_428,RD Congo,Goma,2022-10-22,Marketplace
429,Client_429,Côte d’Ivoire,Yamoussoukro,2023-12-09,Referral
430,Client_430,Canada,Laval,2024-11-20,Ads
431,Client_431,Côte d’Ivoire,Abidjan,2024-08-13,Ads
432,Client_432,Cameroun,Yaoundé,2023-05-23,Organic
433,Client_433,Belgique,Bruxelles,2023-08-18,Referral
434,Client_434,Sénégal,Dakar,2022-11-24,Marketplace
435,Client_435,Côte d’Ivoire,Abidjan,2022-11-23,Referral
436,Client_436,Gabon,Port-Gentil,2023-09-24,Referral
437,Client_437,France,Paris,2024-03-16,Referral
438,Client_438,RD Congo,Lubumbashi,2023-12-24,Ads
439,Client_439,France,Marseille,2024-10-10,Referral
440,Client_440,Cameroun,Bafoussam,2022-01-17,Ads
441,Client_441,Sénégal,Dakar,2023-06-26,Marketplace
442,Client_442,Sénégal,Thiès,2022-04-03,Referral
443,Client_443,France,Lille,2023-02-03,Marketplace
444,Client_444,Cameroun,Douala,2024-03-02,Referral
445,Client_445,Cameroun,Bafoussam,2022-09-01,Organic
446,Client_446,Belgique,Charleroi,2024-02-04,Marketplace
447,Client_447,Côte d’Ivoire,Abidjan,2023-02-12,Referral
448,Client_448,France,Paris,2022-03-21,Organic
449,Client_449,Côte d’Ivoire,Bouaké,2024-11-29,Referral
450,Client_450,Canada,Québec,2023-11-03,Marketplace
451,Client_451,Canada,Gatineau,2023-09-05,Marketplace
452,Client_452,Gabon,Port-Gentil,2024-08-30,Ads
453,Client_453,Côte d’Ivoire,Bouaké,2022-08-13,Referral
454,Client_454,Cameroun,Bafoussam,2022-02-24,Referral
455,Client_455,Cameroun,Bafoussam,2023-04-12,Ads
456,Client_456,Gabon,Libreville,2024-12-09,Referral
457,Client_457,Canada,Québec,2022-03-06,Ads
458,Client_458,RD Congo,Kinshasa,2024-06-22,Marketplace
459,Client_459,Sénégal,Dakar,2024-04-25,Organic
460,Client_460,Sénégal,Saint-Louis,2024-08-23,Ads
461,Client_461,Canada,Québec,2023-10-28,Referral
462,Client_462,Sénégal,Thiès,2022-12-21,Referral
463,Client_463,Côte d’Ivoire,Yamoussoukro,2023-12-27,Marketplace
