id_vente,id_client,id_produit,date_vente,quantité,montant_total,channel
156,3784,85,2024-03-23,3,4743,Online
157,3141,195,2024-01-10,3,399,Online
158,2398,34,2024-08-10,2,2302,Retail
159,2296,144,2024-08-04,2,2076,Marketplace
160,1158,149,2024-01-19,2,3122,Marketplace
161,3618,8,2024-02-22,1,378,Online
162,1668,53,2024-02-01,2,2060,Retail
163,1004,23,2024-07-04,2,2226,Marketplace
164,3938,109,2024-09-29,2,3968,Retail
165,3942,152,2024-12-06,1,52,Retail
166,1774,85,2024-02-20,1,1581,Marketplace
167,2515,12,2024-04-26,2,1900,Retail
168,1522,148,2025-03-30,1,1404,Marketplace
169,598,179,2025-03-06,2,50,Marketplace
170,2657,166,2024-12-27,3,369,Marketplace
171,1484,32,2024-07-15,3,3576,Online
172,4610,127,2024-03-29,1,667,Marketplace
173,3232,129,2024-12-16,2,2028,Retail
174,1209,107,2025-04-02,2,1290,Marketplace
175,4547,51,2024-09-21,1,1314,Marketplace
176,3676,73,2024-08-01,1,1753,Marketplace
177,1115,112,2024-01-06,2,1080,Marketplace
178,3091,123,2024-12-15,3,4113,Online
179,3918,36,2025-04-29,1,439,Online
180,1692,193,2025-04-27,3,252,Marketplace
181,4494,148,2025-05-10,1,1404,Marketplace
182,3421,3,2024-12-20,2,1930,Online
183,4946,179,2024-03-05,2,50,Online
184,3533,56,2025-01-04,3,5748,Retail
185,4976,120,2024-01-27,2,1380,Marketplace
186,248,150,2025-02-12,3,3045,Marketplace
187,4288,193,2024-07-20,3,252,Retail
188,1915,165,2024-03-31,3,249,Online
189,2742,134,2025-02-03,3,5298,Marketplace
190,2128,99,2024-01-04,1,2435,Marketplace
191,4300,8,2025-04-28,1,378,Retail
192,3886,142,2024-04-12,1,838,Retail
193,687,8,2025-05-04,2,756,Marketplace
194,3682,108,2024-08-07,3,2757,Marketplace
195,2575,132,2024-04-08,1,1118,Retail
196,2636,60,2024-07-29,3,3828,Marketplace
197,3881,133,2024-09-13,1,669,Retail
198,4095,19,2024-12-29,2,1642,Marketplace
199,2087,73,2024-03-22,2,3506,Marketplace
200,4807,111,2024-12-26,1,1566,Online
201,4317,86,2024-05-12,1,824,Online
202,3907,82,2024-04-17,1,1892,Marketplace
203,1067,112,2024-08-21,3,1620,Retail
204,1477,156,2024-01-31,1,149,Retail
205,1438,25,2025-04-28,1,345,Retail
206,3950,130,2024-02-22,1,1786,Online
207,3808,138,2025-03-01,1,984,Marketplace
208,4015,2,2024-08-06,3,2724,Retail
209,4029,74,2024-02-24,1,2306,Marketplace
210,469,166,2025-02-03,1,123,Marketplace
211,4450,142,2024-07-09,1,838,Online
212,2198,56,2025-03-04,2,3832,Retail
213,4728,141,2024-10-10,2,2904,Online
214,3071,155,2024-03-30,1,134,Online
215,4740,114,2024-01-05,2,2466,Online
216,1468,28,2024-04-05,3,3024,Online
217,3386,168,2025-05-07,1,43,Retail
218,114,184,2024-02-18,3,303,Marketplace
219,3257,188,2024-05-17,1,68,Marketplace
220,497,165,2024-08-04,1,83,Retail
221,586,196,2024-08-18,1,44,Marketplace
222,1770,104,2025-02-16,1,1559,Online
223,1590,34,2024-08-16,2,2302,Online
224,89,113,2025-04-26,2,2662,Online
225,4779,70,2024-04-11,2,3576,Online
226,3386,194,2025-03-03,1,89,Marketplace
227,2080,66,2025-04-14,1,2242,Marketplace
228,4732,130,2024-04-24,2,3572,Online
229,1310,175,2024-10-15,2,212,Marketplace
230,3550,64,2024-05-03,2,1680,Retail
231,4424,190,2024-04-23,1,102,Retail
232,3258,92,2025-01-22,1,2277,Marketplace
233,499,176,2024-03-21,2,82,Marketplace
234,4506,20,2024-06-15,3,2844,Online
235,4945,122,2024-04-22,3,3072,Retail
236,1843,22,2024-03-06,3,2676,Marketplace
237,1295,114,2025-01-23,3,3699,Marketplace
238,4432,89,2025-03-16,1,2395,Online
239,4691,78,2024-03-01,1,1411,Marketplace
240,2852,67,2024-11-29,1,1240,Online
241,4614,198,2025-02-22,2,48,Marketplace
242,1028,71,2025-03-01,1,1002,Marketplace
243,3439,174,2024-08-19,3,93,Marketplace
244,2713,183,2025-02-25,3,132,Online
245,1362,71,2024-10-10,2,2004,Retail
246,2916,70,2025-05-15,2,3576,Online
247,4008,152,2024-05-15,3,156,Retail
248,4804,149,2024-07-10,3,4683,Online
249,5,40,2024-09-15,2,844,Retail
250,2469,88,2025-02-21,2,1828,Online
251,4057,71,2024-07-05,2,2004,Marketplace
252,1390,87,2024-01-23,1,1718,Retail
253,847,172,2024-10-16,1,146,Online
254,381,136,2024-03-25,3,2247,Online
255,3043,22,2025-02-01,1,892,Marketplace
256,267,129,2024-05-23,1,1014,Marketplace
257,4690,68,2025-04-12,3,7197,Online
258,1845,35,2024-03-29,3,2550,Online
259,1577,198,2024-05-06,2,48,Online
260,54,79,2025-05-05,1,1393,Online
261,2929,114,2024-02-04,1,1233,Online
262,3066,156,2025-04-08,1,149,Retail
263,2819,161,2025-03-12,2,114,Online
264,1854,196,2024-06-21,1,44,Marketplace
265,274,4,2024-04-25,2,1302,Marketplace
266,4132,51,2025-02-20,3,3942,Retail
267,2334,51,2024-12-21,3,3942,Online
268,1587,191,2025-01-21,3,375,Online
269,1329,82,2024-05-30,1,1892,Online
270,1338,153,2024-10-30,2,206,Marketplace
271,60,28,2025-02-19,1,1008,Retail
272,2842,151,2024-10-15,1,71,Retail
273,4411,82,2024-11-26,3,5676,Online
274,1035,22,2025-03-01,1,892,Marketplace
275,742,92,2024-03-23,2,4554,Retail
276,3640,113,2025-02-03,1,1331,Marketplace
277,3218,33,2024-06-09,3,1242,Retail
278,1097,98,2025-05-02,3,5859,Online
279,1169,169,2024-05-04,1,123,Marketplace
280,1623,60,2024-02-08,2,2552,Marketplace
281,2532,152,2024-10-28,2,104,Marketplace
282,1312,26,2024-02-03,2,1132,Online
283,1494,18,2024-10-31,2,1026,Marketplace
284,762,116,2024-10-16,3,2007,Online
285,2801,29,2024-11-14,2,954,Online
286,1085,186,2024-04-02,3,444,Marketplace
287,623,198,2024-12-25,2,48,Online
288,3946,95,2024-07-09,1,1752,Online
289,3284,117,2024-03-06,3,1770,Marketplace
290,3879,188,2024-06-12,2,136,Online
291,4168,187,2024-11-18,3,297,Marketplace
292,3139,158,2024-02-22,2,134,Online
293,209,73,2025-03-31,3,5259,Retail
294,987,118,2024-08-17,2,1390,Online
295,37,80,2024-10-19,1,2221,Retail
296,4367,188,2025-04-07,1,68,Marketplace
297,1126,192,2024-05-18,2,204,Online
298,1362,28,2024-12-27,1,1008,Online
299,2899,109,2024-12-19,1,1984,Online
300,2906,26,2024-01-06,2,1132,Marketplace
301,2220,79,2024-04-17,1,1393,Retail
302,823,1,2024-10-24,1,328,Retail
303,2454,145,2024-05-01,1,1446,Retail
304,4239,70,2025-03-11,1,1788,Marketplace
305,4844,46,2024-08-24,2,1610,Retail
306,2138,167,2024-08-26,1,48,Retail
307,3067,36,2024-12-20,1,439,Retail
308,1076,178,2024-03-19,2,238,Online
309,4467,131,2024-04-30,3,5451,Retail
310,2633,193,2024-12-24,2,168,Retail
311,4840,180,2024-04-02,1,90,Retail
312,2479,140,2025-01-30,1,1380,Retail
313,4036,52,2024-01-22,2,1634,Marketplace
314,3132,163,2025-02-28,2,150,Retail
315,1712,120,2025-03-26,1,690,Online
316,4825,29,2024-10-28,1,477,Retail
317,2903,60,2024-02-18,2,2552,Marketplace
318,469,152,2024-03-25,3,156,Marketplace
319,4448,162,2024-12-06,2,208,Marketplace
320,2253,195,2024-01-30,2,266,Retail
321,4125,24,2025-02-06,2,1778,Marketplace
322,4320,47,2024-09-28,3,2259,Online
323,4436,6,2024-03-28,3,3378,Marketplace
324,3582,110,2024-12-29,3,1887,Marketplace
325,3314,191,2025-02-07,1,125,Online
326,4161,3,2024-05-16,1,965,Marketplace
327,1027,149,2024-12-03,2,3122,Retail
328,2969,130,2024-06-05,1,1786,Online
329,2613,60,2025-01-12,3,3828,Marketplace
330,4798,175,2024-07-19,1,106,Online
331,1303,56,2024-03-29,3,5748,Online
332,71,69,2025-01-21,2,4234,Online
333,1503,28,2024-06-29,3,3024,Retail
334,3324,144,2024-03-27,3,3114,Marketplace
335,1410,75,2024-10-09,2,4648,Marketplace
336,4825,46,2025-01-24,1,805,Marketplace
337,105,156,2024-02-16,1,149,Online
338,2013,108,2025-04-17,1,919,Marketplace
339,2355,79,2024-10-18,1,1393,Retail
340,4867,93,2024-01-06,1,1538,Online
341,3421,87,2024-07-20,3,5154,Online
342,3633,109,2024-01-21,3,5952,Online
343,3265,95,2024-01-01,2,3504,Marketplace
344,432,50,2025-05-07,2,1572,Retail
345,3526,42,2024-04-09,2,1154,Online
346,3910,65,2025-03-04,1,1813,Marketplace
347,323,70,2024-01-10,3,5364,Retail
348,614,120,2024-01-26,1,690,Retail
349,4710,176,2024-04-22,1,41,Online
350,1645,25,2024-10-02,2,690,Retail
351,1102,142,2024-03-23,1,838,Marketplace
352,768,127,2024-02-14,2,1334,Retail
353,3132,79,2025-03-12,1,1393,Online
354,384,75,2024-08-02,3,6972,Online
355,1177,46,2024-08-24,3,2415,Marketplace
356,306,115,2024-06-13,3,2583,Marketplace
357,3279,143,2024-02-26,2,838,Retail
358,3425,88,2025-03-01,3,2742,Online
359,3572,61,2025-03-21,2,1742,Online
360,2306,159,2024-04-21,2,44,Retail
361,2900,7,2024-01-06,3,3408,Online
362,2668,54,2024-04-26,3,3585,Marketplace
363,1638,54,2024-05-18,1,1195,Marketplace
364,3643,58,2025-02-26,1,880,Marketplace
365,1202,77,2025-03-14,3,3489,Online
366,912,11,2024-04-15,3,1926,Online
367,940,51,2024-01-07,2,2628,Retail
368,2122,151,2024-05-24,3,213,Retail
369,3566,153,2024-06-02,1,103,Online
370,813,133,2024-07-18,1,669,Marketplace
371,2357,1,2024-02-29,2,656,Retail
372,3767,147,2024-04-01,1,1556,Marketplace
373,3182,121,2024-09-24,2,3790,Marketplace
374,3443,132,2025-04-02,2,2236,Online
375,1708,4,2025-02-08,2,1302,Marketplace
376,2395,144,2024-04-02,3,3114,Retail
377,2273,200,2025-03-26,1,55,Marketplace
378,3878,111,2024-06-16,1,1566,Marketplace
379,4192,194,2024-10-08,1,89,Marketplace
380,709,88,2025-03-03,1,914,Marketplace
381,4626,117,2024-04-06,3,1770,Online
382,1498,183,2024-01-22,2,88,Online
383,4591,129,2024-04-22,2,2028,Marketplace
384,2185,62,2025-01-30,2,3444,Marketplace
385,4065,17,2024-03-27,1,570,Online
386,2830,24,2024-08-07,2,1778,Marketplace
387,4105,124,2025-02-25,1,1663,Marketplace
388,2094,11,2024-08-17,3,1926,Retail
389,1356,116,2024-07-02,1,669,Marketplace
390,3029,148,2025-01-16,3,4212,Online
391,1121,105,2024-08-02,2,2734,Retail
392,340,140,2024-05-23,3,4140,Retail
393,1417,171,2024-04-11,2,116,Retail
394,2181,193,2024-02-02,2,168,Retail
395,27,86,2024-10-31,1,824,Marketplace
396,4104,47,2025-03-23,1,753,Marketplace
397,2564,103,2024-09-03,3,2454,Retail
398,1429,64,2024-02-16,2,1680,Marketplace
399,2282,48,2024-04-30,3,2472,Marketplace
400,4944,184,2024-01-09,3,303,Online
401,1806,191,2024-09-01,3,375,Retail
402,2146,25,2024-12-10,1,345,Marketplace
403,2497,56,2024-09-07,1,1916,Retail
404,3364,128,2025-01-12,3,5202,Online
405,1820,18,2024-08-21,2,1026,Retail
406,2146,165,2024-05-21,3,249,Online
407,420,86,2024-07-21,2,1648,Retail
408,675,129,2024-10-04,2,2028,Marketplace
409,2879,69,2025-03-25,3,6351,Marketplace
410,3393,165,2025-03-10,2,166,Marketplace
411,3177,194,2025-01-21,1,89,Online
412,4534,109,2025-04-18,2,3968,Online
413,2433,105,2025-03-27,2,2734,Retail
414,4256,15,2024-07-09,1,873,Retail
415,4989,13,2024-10-19,3,3444,Online
416,1222,188,2024-08-19,1,68,Marketplace
417,1368,139,2024-10-22,3,4491,Online
418,4236,55,2024-06-06,1,1658,Marketplace
419,3723,127,2024-11-28,1,667,Retail
420,168,137,2024-05-28,2,2456,Online
421,3375,12,2025-01-20,2,1900,Marketplace
422,2765,124,2025-04-05,1,1663,Online
423,2032,180,2024-08-15,1,90,Marketplace
424,4851,38,2024-09-17,2,642,Online
425,222,140,2024-07-21,1,1380,Marketplace
426,3605,145,2024-12-06,3,4338,Online
427,3315,40,2024-08-29,1,422,Retail
428,4490,3,2025-04-22,1,965,Online
429,1503,128,2024-08-03,1,1734,Marketplace
430,4708,199,2024-11-24,2,86,Marketplace
431,133,16,2025-01-29,1,802,Retail
432,4163,186,2024-11-27,2,296,Retail
433,2696,82,2024-04-21,2,3784,Retail
434,4898,5,2025-02-17,2,962,Online
435,3857,65,2025-01-19,2,3626,Online
436,3398,108,2024-04-14,3,2757,Marketplace
437,1386,108,2024-12-22,3,2757,Retail
438,4127,40,2025-01-22,3,1266,Marketplace
439,198,110,2025-01-14,2,1258,Marketplace
440,2644,144,2025-03-10,3,3114,Online
441,2480,105,2024-10-19,3,4101,Online
442,967,68,2024-12-21,1,2399,Marketplace
443,2150,165,2024-11-27,1,83,Retail
444,637,20,2024-10-06,2,1896,Marketplace
445,3628,15,2024-01-16,3,2619,Marketplace
446,1688,87,2024-04-05,2,3436,Online
447,3295,77,2025-01-25,1,1163,Online
448,122,158,2024-08-30,3,201,Online
449,4763,158,2024-03-31,3,201,Retail
450,657,37,2024-12-10,3,2292,Retail
451,1309,21,2024-09-08,3,2292,Online
452,1261,138,2024-08-02,3,2952,Retail
453,1672,195,2025-01-30,2,266,Online
454,741,145,2024-08-22,2,2892,Retail
455,4374,105,2024-08-04,1,1367,Marketplace
456,2150,44,2024-03-28,3,1539,Marketplace
457,2392,132,2024-03-21,3,3354,Online
458,4845,73,2024-10-01,1,1753,Retail
459,1921,43,2025-05-12,3,3444,Online
460,1945,41,2025-05-05,3,2076,Marketplace
461,4928,197,2024-12-20,2,176,Online
462,2313,139,2024-07-02,1,1497,Retail
463,3429,167,2024-08-18,3,144,Online
464,4906,81,2024-04-01,2,2306,Online
465,2786,110,2025-02-23,3,1887,Retail
466,1556,177,2024-01-02,2,256,Marketplace
467,4975,36,2024-09-28,2,878,Online
468,1901,159,2024-10-14,2,44,Retail
469,2277,85,2024-12-03,3,4743,Online
470,1202,152,2025-02-04,1,52,Retail
471,618,2,2024-08-26,3,2724,Retail
472,915,25,2024-07-31,3,1035,Marketplace
473,46,125,2024-07-16,3,2322,Retail
474,2221,137,2024-12-05,2,2456,Online
475,934,98,2024-06-24,3,5859,Retail
476,4751,164,2025-03-18,3,72,Online
477,3110,34,2024-11-29,1,1151,Marketplace
478,1163,48,2025-04-06,3,2472,Retail
479,764,40,2024-06-17,3,1266,Online
480,3677,64,2025-01-31,1,840,Online
481,3900,87,2024-01-28,1,1718,Retail
482,3378,18,2024-11-18,1,513,Marketplace
483,3656,83,2025-03-26,1,872,Online
484,255,91,2024-09-19,1,1600,Retail
485,258,161,2024-09-22,3,171,Retail
486,3722,28,2024-03-22,1,1008,Marketplace
487,4332,111,2024-03-25,1,1566,Retail
488,4508,114,2024-03-30,2,2466,Retail
489,2451,173,2025-03-07,2,274,Retail
490,248,168,2024-12-04,2,86,Online
491,1207,30,2024-09-21,2,2162,Retail
492,4747,50,2025-05-09,3,2358,Marketplace
493,1507,190,2024-11-24,3,306,Retail
494,2258,173,2024-02-15,2,274,Online
495,4423,61,2024-01-02,2,1742,Marketplace
496,921,191,2025-01-03,3,375,Retail
497,903,71,2024-03-28,2,2004,Marketplace
498,3211,137,2024-03-08,2,2456,Online
499,272,126,2024-09-28,3,3369,Online
500,1967,76,2024-11-15,1,1976,Online
501,466,113,2024-11-21,2,2662,Online
502,1595,124,2024-12-10,2,3326,Marketplace
503,2207,128,2024-04-21,2,3468,Marketplace
504,3126,128,2024-11-18,3,5202,Retail
505,2074,49,2024-06-20,1,519,Retail
506,3970,171,2025-04-05,3,174,Online
507,1464,184,2024-01-06,1,101,Retail
508,2419,34,2025-02-18,3,3453,Retail
509,1169,44,2024-06-01,3,1539,Online
510,3064,97,2024-04-20,3,3894,Marketplace
511,153,135,2024-10-26,3,4770,Online
512,1826,141,2024-08-22,1,1452,Marketplace
513,74,109,2024-04-03,1,1984,Retail
514,4669,137,2024-08-19,2,2456,Marketplace
515,482,14,2024-05-07,3,1281,Retail
516,3678,166,2024-01-01,2,246,Online
517,1985,68,2024-07-11,2,4798,Marketplace
518,2526,194,2024-01-22,1,89,Marketplace
519,1822,59,2024-12-23,2,4282,Marketplace
520,4107,5,2025-01-20,2,962,Online
521,4365,77,2025-02-21,3,3489,Marketplace
522,2281,130,2024-12-13,2,3572,Online
523,3278,68,2025-02-27,1,2399,Retail
524,4179,178,2024-10-06,2,238,Online
525,2886,160,2025-03-23,1,71,Retail
526,3701,73,2024-09-12,3,5259,Online
527,3027,76,2024-05-21,3,5928,Retail
528,3368,62,2024-03-18,2,3444,Online
529,1891,110,2024-08-07,1,629,Online
530,3304,155,2025-02-17,2,268,Marketplace
531,4334,176,2024-07-27,3,123,Marketplace
532,604,51,2024-03-07,3,3942,Marketplace
533,2543,177,2024-10-17,3,384,Marketplace
534,1427,182,2024-03-10,3,246,Retail
535,2102,169,2024-04-05,1,123,Retail
536,3170,32,2024-04-04,3,3576,Online
537,4618,72,2024-11-13,2,2190,Online
538,3145,144,2024-08-01,1,1038,Marketplace
539,3717,181,2025-04-30,1,131,Retail
540,3344,171,2024-03-31,3,174,Online
541,3089,125,2024-11-08,2,1548,Retail
542,1265,13,2024-10-28,3,3444,Retail
543,4491,53,2024-05-06,3,3090,Online
544,4529,32,2025-01-11,2,2384,Marketplace
545,4555,198,2024-09-20,2,48,Marketplace
546,4059,41,2024-08-18,3,2076,Retail
547,3049,48,2025-04-14,1,824,Marketplace
548,2467,95,2024-03-03,1,1752,Online
549,4303,143,2024-03-29,2,838,Online
550,2061,118,2025-04-03,3,2085,Retail
551,784,192,2024-06-16,1,102,Online
552,4325,24,2025-01-16,3,2667,Online
553,694,23,2024-03-20,3,3339,Online
554,81,124,2024-01-16,2,3326,Online
555,2373,127,2024-06-01,1,667,Online
556,3821,125,2025-04-21,3,2322,Marketplace
557,552,75,2025-05-04,1,2324,Marketplace
558,1859,124,2025-03-12,3,4989,Online
559,4621,70,2024-02-06,2,3576,Online
560,969,43,2024-01-09,2,2296,Online
561,4710,22,2024-09-10,3,2676,Marketplace
562,4453,166,2024-08-28,1,123,Online
563,4846,192,2024-11-09,1,102,Retail
564,2681,149,2025-03-02,2,3122,Retail
565,2435,63,2024-03-22,2,2698,Retail
566,1110,142,2024-05-31,3,2514,Online
567,1240,186,2024-01-29,2,296,Retail
568,1914,178,2024-06-21,1,119,Online
569,4672,29,2025-04-22,1,477,Marketplace
570,3508,155,2024-11-07,2,268,Online
571,2139,127,2024-10-13,3,2001,Retail
572,1025,28,2025-04-13,2,2016,Retail
573,279,199,2024-11-28,3,129,Marketplace
574,4375,100,2024-03-08,2,3490,Online
575,3882,100,2024-12-03,1,1745,Marketplace
576,23,146,2024-08-17,1,1746,Retail
577,3351,89,2024-02-21,2,4790,Retail
578,4685,106,2024-06-19,2,2396,Marketplace
579,2379,15,2025-03-10,1,873,Online
580,2031,145,2025-02-11,2,2892,Marketplace
581,2111,42,2024-03-02,2,1154,Retail
582,2605,109,2024-04-25,1,1984,Online
583,1591,74,2024-09-03,3,6918,Retail
584,2587,190,2025-03-11,3,306,Marketplace
585,105,8,2024-01-27,1,378,Marketplace
586,4063,25,2024-04-10,2,690,Retail
587,601,103,2024-09-11,1,818,Marketplace
588,1850,75,2024-08-02,1,2324,Online
589,1470,181,2025-05-09,3,393,Online
590,2733,173,2025-03-02,1,137,Retail
591,4783,70,2024-11-01,3,5364,Retail
592,4840,180,2024-04-11,1,90,Retail
593,1585,84,2024-04-17,2,3752,Marketplace
594,1556,82,2024-06-01,1,1892,Retail
595,2408,47,2025-03-12,1,753,Marketplace
596,3675,115,2024-05-26,2,1722,Retail
597,1,30,2025-02-03,3,3243,Marketplace
598,3533,144,2024-01-14,2,2076,Marketplace
599,4379,29,2024-07-31,3,1431,Online
600,2583,4,2024-02-03,1,651,Online
601,3854,186,2024-07-30,3,444,Marketplace
602,4984,20,2024-02-06,1,948,Marketplace
603,280,24,2025-05-15,3,2667,Retail
604,2927,125,2024-02-15,3,2322,Marketplace
605,1958,94,2025-05-07,3,5982,Retail
606,4410,13,2024-10-30,1,1148,Marketplace
607,2196,65,2024-06-29,1,1813,Marketplace
608,2096,63,2024-01-19,1,1349,Retail
609,4574,9,2025-02-10,1,938,Marketplace
610,12,52,2024-06-25,3,2451,Marketplace
611,648,143,2025-01-08,3,1257,Retail
